Gene,TotalEvidenceCounts,EvidenceHit:hits,EvidenceGO:hits,EvidencePPI:hits
26377,3.0,1,1,1
18186,3.0,1,1,1
16477,3.0,1,1,1
13653,3.0,1,1,1
14282,3.0,1,1,1
19173,3.0,1,1,1
11911,3.0,1,1,1
18585,3.0,1,1,1
16646,3.0,1,1,1
69581,3.0,1,1,1
14281,3.0,1,1,1
102098,3.0,1,1,1
16476,3.0,1,1,1
67784,3.0,1,1,1
241274,3.0,1,1,1
76952,3.0,1,1,1
66212,3.0,1,1,1
16891,3.0,1,1,1
53417,3.0,1,1,1
214685,3.0,1,1,1
17748,3.0,1,1,1
22433,3.0,1,1,1
224105,3.0,1,1,1
12608,3.0,1,1,1
18708,3.0,1,1,1
71745,3.0,1,1,1
16007,3.0,1,1,1
105372,3.0,1,1,1
56529,3.0,1,1,1
665155,3.0,1,1,1
13807,3.0,1,1,1
23945,3.0,1,1,1
16600,3.0,1,1,1
17750,3.0,1,1,1
18035,3.0,1,1,1
19252,2.0,1,1,0
170788,2.0,1,0,1
50497,2.0,1,0,1
66873,2.0,1,0,1
13384,2.0,1,0,1
210992,2.0,1,0,1
407790,2.0,1,0,1
235320,2.0,1,1,0
22682,2.0,1,0,1
277854,2.0,1,0,1
67603,2.0,1,1,0
68031,2.0,1,0,1
328949,2.0,1,0,1
20333,2.0,1,0,1
67665,2.0,1,0,1
11544,2.0,1,0,1
100952,2.0,1,1,0
16889,2.0,1,1,0
13018,2.0,1,1,0
12611,2.0,1,0,1
229599,2.0,1,1,0
66277,2.0,1,1,0
76895,2.0,1,0,1
18626,2.0,1,1,0
56200,2.0,1,1,0
16601,2.0,1,1,0
100604,2.0,1,0,1
14107,2.0,1,1,0
26951,2.0,1,0,1
109270,2.0,1,1,0
213575,2.0,1,0,1
22695,2.0,1,1,0
22329,2.0,1,1,0
68205,2.0,1,0,1
109108,2.0,1,1,0
56320,2.0,1,1,0
81018,2.0,1,0,1
545156,2.0,1,1,0
106522,2.0,1,1,0
12330,2.0,1,0,1
21945,2.0,1,1,0
19283,2.0,1,1,0
50794,2.0,1,1,0
14735,2.0,1,1,0
13655,2.0,1,0,1
23805,2.0,1,1,0
70804,2.0,1,1,0
52837,2.0,1,0,1
77113,2.0,1,0,1
22201,2.0,1,0,1
15214,2.0,1,1,0
73251,1.0,1,0,0
21376,1.0,1,0,0
72096,1.0,1,0,0
73469,1.0,1,0,0
98193,1.0,1,0,0
223775,1.0,1,0,0
16008,1.0,1,0,0
107817,1.0,1,0,0
18111,1.0,1,0,0
244713,1.0,1,0,0
74682,1.0,1,0,0
232910,1.0,1,0,0
74868,1.0,1,0,0
30941,1.0,1,0,0
212555,1.0,1,0,0
116914,1.0,1,0,0
80859,1.0,1,0,0
14009,1.0,1,0,0
234725,1.0,1,0,0
56364,1.0,1,0,0
67136,1.0,1,0,0
21976,1.0,1,0,0
56332,1.0,1,0,0
78912,1.0,1,0,0
214048,1.0,1,0,0
21749,1.0,1,0,0
64136,1.0,1,0,0
67246,1.0,1,0,0
381801,1.0,1,0,0
12830,1.0,1,0,0
72555,1.0,1,0,0
104080,1.0,1,0,0
22781,1.0,1,0,0
13850,1.0,1,0,0
229675,1.0,1,0,0
216131,1.0,1,0,0
15388,1.0,1,0,0
15925,1.0,1,0,0
227298,1.0,1,0,0
68134,1.0,1,0,0
228608,1.0,1,0,0
12496,1.0,1,0,0
63955,1.0,1,0,0
230789,1.0,1,0,0
69956,1.0,1,0,0
68991,1.0,1,0,0
67454,1.0,1,0,0
14605,1.0,1,0,0
67220,1.0,1,0,0
70556,1.0,1,0,0
229707,1.0,1,0,0
70807,1.0,1,0,0
338523,1.0,1,0,0
231386,1.0,1,0,0
23942,1.0,1,0,0
13610,1.0,1,0,0
93709,1.0,1,0,0
207592,1.0,1,0,0
72514,1.0,1,0,0
268420,1.0,1,0,0
77015,1.0,1,0,0
271786,1.0,1,0,0
140721,1.0,1,0,0
80893,1.0,1,0,0
22592,1.0,1,0,0
16010,1.0,1,0,0
22355,1.0,1,0,0
74901,1.0,1,0,0
13356,1.0,1,0,0
64540,1.0,1,0,0
218885,1.0,1,0,0
276846,1.0,1,0,0
14904,1.0,1,0,0
381217,1.0,1,0,0
77519,1.0,1,0,0
271127,1.0,1,0,0
15936,1.0,1,0,0
80981,1.0,1,0,0
28135,1.0,1,0,0
223754,1.0,1,0,0
77805,1.0,1,0,0
